,zpid,price_str,price,zestimate,rent_zestimate,tax_assesed_value,beds,baths,sqft,lot_sqft,lot_acres,lat,lng,zip_code,city,state,address,status_type,status_text,home_type,is_preforeclosure,is_zillow_owned,days_on_zillow,link,miles_from_work,miles_from_work_class,price_per_square_foot,price_per_lot_size,lot_size_per_square_foot,beds_per_square_foot,baths_per_square_foot,beds_and_baths_per_square_foot,lot_sqft_vs_house_sqft,zestimate_vs_price,reveal_factor,good_deal_factor,location_factor,green_space_factor,interior_space_factor,space_cost_factor,reveal_factor_class
28,13346330,"$1,100,000",1100000.0,1075555.0,2804.0,664000.0,3.0,1.0,1841.0,5810.0,0.13337924701561066,39.722378,-104.97027,80218,Denver,CO,420 N Lafayette St Denver CO 80218,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/420-N-Lafayette-St-Denver-CO-80218/13346330_zpid/,18.54488327823341,Worst,597.5013579576317,189.32874354561102,3969.0,613.6666666666666,1841.0,460.25,3.155893536121673,-24445.0,,,,,,,
29,13346325,"$1,700,000",1700000.0,1680841.0,6157.0,1324200.0,4.0,4.0,3089.0,3910.0,0.08976124885215794,39.722843,-104.97027,80218,Denver,CO,446 N Lafayette St Denver CO 80218,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/446-N-Lafayette-St-Denver-CO-80218/13346325_zpid/,18.521821437842657,Worst,550.3399158303658,434.7826086956522,821.0,772.25,772.25,386.125,1.2657818064098414,-19159.0,,,,,,,
30,2060785624,"$599,973",599973.0,,,,2.0,1.0,1346.0,,,39.741528,-104.93821,80220,Denver,CO,4131 E 16th Ave Denver CO 80220,FOR_SALE,Multi-family home for sale,MULTI_FAMILY,False,False,-1,https://zillow.com/homedetails/4131-E-16th-Ave-Denver-CO-80220/2060785624_zpid/,18.901551826595274,Worst,,,,,,,,,,,,,,,
31,13321456,"$849,000",849000.0,836100.0,4229.0,697500.0,4.0,3.0,2883.0,,,39.741512,-104.9759,80218,Denver,CO,1582 N Emerson St Denver CO 80218,FOR_SALE,Townhouse for sale,TOWNHOUSE,False,False,-1,https://zillow.com/homedetails/1582-N-Emerson-St-Denver-CO-80218/13321456_zpid/,17.401526054695847,Worst,,,,,,,,-12900.0,,,,,,,
32,61433568,"$449,000",449000.0,449000.0,2298.0,328400.0,2.0,1.0,995.0,,,39.739246,-104.96258,80206,Denver,CO,1441 Vine St APT 3 Denver CO 80206,FOR_SALE,Condo for sale,CONDO,False,False,-1,https://zillow.com/homedetails/1441-Vine-St-APT-3-Denver-CO-80206/61433568_zpid/,18.02596042634458,Worst,,,,,,,,0.0,,,,,,,
33,58296090,"$300,000",300000.0,295272.0,1656.0,277900.0,1.0,1.0,666.0,,,39.736282,-104.97101,80218,Denver,CO,1267 N Lafayette St APT 302 Denver CO 80218,FOR_SALE,Condo for sale,CONDO,False,False,-1,https://zillow.com/homedetails/1267-N-Lafayette-St-APT-302-Denver-CO-80218/58296090_zpid/,17.83903955557643,Worst,,,,,,,,-4728.0,,,,,,,
34,2060817460,"$3,500,000",3500000.0,,,,4.0,6.0,5710.0,6250.0,0.14348025711662074,39.721798,-104.951324,80206,Denver,CO,339 Saint Paul St Denver CO 80206,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/339-Saint-Paul-St-Denver-CO-80206/2060817460_zpid/,19.28671510662054,Worst,612.9597197898424,560.0,540.0,1427.5,951.6666666666666,571.0,1.094570928196147,,,,,,,,
35,13346826,"$878,500",878500.0,867262.0,3499.0,642200.0,4.0,2.0,1996.0,4690.0,0.10766758494031221,39.723347,-104.979065,80203,Denver,CO,445 N Washington St Denver CO 80203,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/445-N-Washington-St-Denver-CO-80203/13346826_zpid/,18.173864749866773,Worst,440.1302605210421,187.3134328358209,2694.0,499.0,998.0,332.6666666666667,2.349699398797595,-11238.0,,,,,,,
36,13348197,"$1,480,000",1480000.0,1459100.0,5651.0,982800.0,3.0,4.0,3548.0,,,39.72213,-104.942184,80206,Denver,CO,362 Jackson St Denver CO 80206,FOR_SALE,Multi-family home for sale,MULTI_FAMILY,False,False,-1,https://zillow.com/homedetails/362-Jackson-St-Denver-CO-80206/13348197_zpid/,19.624246945875967,Worst,,,,,,,,-20900.0,,,,,,,
37,13355287,"$980,000",980000.0,966500.0,4099.0,746100.0,3.0,2.0,2679.0,6230.0,0.14302112029384756,39.710423,-104.98184,80209,Denver,CO,335 S Pennsylvania St Denver CO 80209,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/335-S-Pennsylvania-St-Denver-CO-80209/13355287_zpid/,18.737793671654902,Worst,365.8081373646883,157.30337078651687,3551.0,893.0,1339.5,535.8,2.3254945875326616,-13500.0,,,,,,,
38,63359008,"$495,000",495000.0,483713.0,2787.0,438400.0,2.0,2.0,1220.0,,,39.73986,-104.94969,80206,Denver,CO,1489 Steele St APT 315 Denver CO 80206,FOR_SALE,Condo for sale,CONDO,False,False,-1,https://zillow.com/homedetails/1489-Steele-St-APT-315-Denver-CO-80206/63359008_zpid/,18.509615523202523,Worst,,,,,,,,-11287.0,,,,,,,
39,13321011,"$425,000",425000.0,425001.0,2499.0,390900.0,2.0,1.0,1162.0,3140.0,0.07208448117539026,39.74867,-104.97053,80205,Denver,CO,2122 N Lafayette St Denver CO 80205,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/2122-N-Lafayette-St-Denver-CO-80205/13321011_zpid/,17.27612706824619,Worst,365.7487091222031,135.35031847133757,1978.0,581.0,1162.0,387.3333333333333,2.70223752151463,1.0,,,,,,,
40,13348566,"$1,985,000",1985000.0,1955882.0,5601.0,1179200.0,4.0,4.0,3947.0,3842.0,0.0882001836547291,39.71871,-104.9434,80206,Denver,CO,140 Garfield St Denver CO 80206,FOR_SALE,Townhouse for sale,TOWNHOUSE,False,False,-1,https://zillow.com/homedetails/140-Garfield-St-Denver-CO-80206/13348566_zpid/,19.738684979533012,Worst,502.9136052698252,516.6579906298803,-105.0,986.75,986.75,493.375,0.9733975171015962,-29118.0,,,,,,,
41,58685997,"$350,000",350000.0,344000.0,1942.0,257000.0,2.0,1.0,783.0,,,39.71962,-104.9782,80203,Denver,CO,733 E 2nd Ave APT 104 Denver CO 80203,FOR_SALE,Condo for sale,CONDO,False,False,-1,https://zillow.com/homedetails/733-E-2nd-Ave-APT-104-Denver-CO-80203/58685997_zpid/,18.393638877051053,Worst,,,,,,,,-6000.0,,,,,,,
42,13330380,"$299,000",299000.0,291707.0,1535.0,221600.0,1.0,1.0,637.0,,,39.732822,-104.97032,80218,Denver,CO,1050 N Lafayette St APT 305 Denver CO 80218,FOR_SALE,Condo for sale,CONDO,False,False,-1,https://zillow.com/homedetails/1050-N-Lafayette-St-APT-305-Denver-CO-80218/13330380_zpid/,18.031696822127888,Worst,,,,,,,,-7293.0,,,,,,,
43,13326384,"$630,000",630000.0,621941.0,3140.0,535000.0,4.0,3.0,2532.0,4687.0,0.10759871441689624,39.733795,-104.95946,80206,Denver,CO,1114 N York St Denver CO 80206,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/1114-N-York-St-Denver-CO-80206/13326384_zpid/,18.40309271029663,Worst,248.81516587677726,134.41433752933645,2155.0,633.0,844.0,361.7142857142857,1.8511058451816746,-8059.0,,,,,,,
44,13328408,"$1,200,000",1200000.0,1184700.0,2999.0,711000.0,4.0,2.0,2195.0,4777.0,0.10966483011937557,39.724453,-104.958595,80206,Denver,CO,517 Josephine St Denver CO 80206,FOR_SALE,Multi-family home for sale,MULTI_FAMILY,False,False,-1,https://zillow.com/homedetails/517-Josephine-St-Denver-CO-80206/13328408_zpid/,18.881465184047492,Worst,546.6970387243736,251.20368432070336,2582.0,548.75,1097.5,365.8333333333333,2.1763097949886103,-15300.0,,,,,,,
45,13350074,"$1,590,000",1590000.0,1557778.0,6263.0,1254600.0,4.0,5.0,3821.0,3317.0,0.07614784205693297,39.715134,-104.94411,80209,Denver,CO,61 S Garfield St Denver CO 80209,FOR_SALE,Multi-family home for sale,MULTI_FAMILY,False,False,-1,https://zillow.com/homedetails/61-S-Garfield-St-Denver-CO-80209/13350074_zpid/,19.882301208423318,Worst,416.12143417953416,479.34880916490806,-504.0,955.25,764.2,424.55555555555554,0.8680973567129023,-32222.0,,,,,,,
46,13395237,"$1,845,000",1845000.0,1815480.0,4808.0,880000.0,4.0,4.0,3309.0,5850.0,0.13429752066115702,39.722866,-104.93571,80220,Denver,CO,384 Birch St Denver CO 80220,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/384-Birch-St-Denver-CO-80220/13395237_zpid/,19.84384145028852,Worst,557.570262919311,315.38461538461536,2541.0,827.25,827.25,413.625,1.7679057116953762,-29520.0,,,,,,,
47,13392985,"$995,000",995000.0,972888.0,2643.0,468600.0,3.0,3.0,1532.0,6250.0,0.14348025711662074,39.73634,-104.93414,80220,Denver,CO,4530 E 13th Ave Denver CO 80220,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/4530-E-13th-Ave-Denver-CO-80220/13392985_zpid/,19.296715829713982,Worst,649.4778067885118,159.2,4718.0,510.6666666666667,510.6666666666667,255.33333333333334,4.079634464751958,-22112.0,,,,,,,
48,67449028,"$359,900",359900.0,359900.0,1984.0,247700.0,2.0,1.0,955.0,,,39.73604,-104.97902,80203,Denver,CO,1243 N Washington St APT 102 Denver CO 80203,FOR_SALE,Condo for sale,CONDO,False,False,-1,https://zillow.com/homedetails/1243-N-Washington-St-APT-102-Denver-CO-80203/67449028_zpid/,17.54637879643165,Worst,,,,,,,,0.0,,,,,,,
49,130234008,"$1,350,000",1350000.0,1327118.0,5421.0,998000.0,8.0,4.0,3379.0,6250.0,0.14348025711662074,39.734436,-104.95141,80206,Denver,CO,1140 N Milwaukee St 1148 Denver CO 80206,FOR_SALE,Multi-family home for sale,MULTI_FAMILY,False,False,-1,https://zillow.com/homedetails/1140-N-Milwaukee-St-1148-Denver-CO-80206/130234008_zpid/,18.688950917525847,Worst,399.52648712636875,216.0,2871.0,422.375,844.75,281.5833333333333,1.8496596626220776,-22882.0,,,,,,,
50,13395302,"$948,000",948000.0,939140.0,3860.0,671200.0,3.0,2.0,2612.0,9910.0,0.22750229568411387,39.721935,-104.94032,80220,Denver,CO,340 N Colorado Blvd Denver CO 80220,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/340-N-Colorado-Blvd-Denver-CO-80220/13395302_zpid/,19.706138423300768,Worst,362.94027565084224,95.66094853683148,7298.0,870.6666666666666,1306.0,522.4,3.794027565084227,-8860.0,,,,,,,
51,13394464,"$711,000",711000.0,707532.0,3140.0,583800.0,3.0,2.0,1764.0,5000.0,0.1147842056932966,39.727917,-104.92576,80220,Denver,CO,748 Glencoe St Denver CO 80220,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/748-Glencoe-St-Denver-CO-80220/13394464_zpid/,20.012092458420348,Worst,403.0612244897959,142.2,3236.0,588.0,882.0,352.8,2.834467120181406,-3468.0,,,,,,,
52,13329455,"$1,295,000",1295000.0,,,1017600.0,6.0,4.0,3743.0,4500.0,0.10330578512396695,39.739155,-104.97382,80218,Denver,CO,1440 N Corona St Denver CO 80218,FOR_SALE,Multi-family home for sale,MULTI_FAMILY,False,False,-1,https://zillow.com/homedetails/1440-N-Corona-St-Denver-CO-80218/13329455_zpid/,17.593897431271994,Worst,345.97916110072134,287.77777777777777,757.0,623.8333333333334,935.75,374.3,1.2022441891530857,,,,,,,,
53,318397647,"$3,150,000",3150000.0,3064100.0,9490.0,682300.0,6.0,5.0,5409.0,6875.0,0.15782828282828282,39.746574,-104.93857,80220,Denver,CO,1930 Albion St Denver CO 80220,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/1930-Albion-St-Denver-CO-80220/318397647_zpid/,18.667183898327146,Worst,582.3627287853577,458.1818181818182,1466.0,901.5,1081.8,491.72727272727275,1.271029765206138,-85900.0,,,,,,,
54,251842057,"$3,275,000",3275000.0,3143561.0,10902.0,2165700.0,3.0,4.0,3023.0,,,39.730675,-104.98067,80203,Denver,CO,900 N Pennsylvania St 600 Denver CO 80203,FOR_SALE,Condo for sale,CONDO,False,False,-1,https://zillow.com/homedetails/900-N-Pennsylvania-St-600-Denver-CO-80203/251842057_zpid/,17.748603897413485,Worst,,,,,,,,-131439.0,,,,,,,
55,13347938,"$1,860,000",1860000.0,1823900.0,6045.0,1118900.0,3.0,4.0,3741.0,3982.0,0.09141414141414142,39.722973,-104.94694,80206,Denver,CO,422 Cook St Denver CO 80206,FOR_SALE,Townhouse for sale,TOWNHOUSE,False,False,-1,https://zillow.com/homedetails/422-Cook-St-Denver-CO-80206/13347938_zpid/,19.39971417467083,Worst,497.1932638331997,467.101958814666,241.0,1247.0,935.25,534.4285714285714,1.0644212777332265,-36100.0,,,,,,,
56,13330192,"$800,000",800000.0,792100.0,3087.0,626800.0,3.0,2.0,2145.0,3110.0,0.07139577594123049,39.734493,-104.973785,80218,Denver,CO,1144 N Corona St Denver CO 80218,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/1144-N-Corona-St-Denver-CO-80218/13330192_zpid/,17.819367403879884,Worst,372.960372960373,257.2347266881029,965.0,715.0,1072.5,429.0,1.4498834498834499,-7900.0,,,,,,,
57,2060915578,"$3,275,000",3275000.0,,,,4.0,7.0,5119.0,,,39.720287,-104.94462,80206,Denver,CO,234 Monroe St Denver CO 80206,FOR_SALE,Townhouse for sale,TOWNHOUSE,False,False,-1,https://zillow.com/homedetails/234-Monroe-St-Denver-CO-80206/2060915578_zpid/,19.61670573210589,Worst,,,,,,,,,,,,,,,
58,13350184,"$1,300,000",1300000.0,1276871.0,2445.0,498300.0,3.0,2.0,2028.0,5840.0,0.13406795224977044,39.715313,-104.94103,80246,Denver,CO,45 S Colorado Blvd Denver CO 80246,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/45-S-Colorado-Blvd-Denver-CO-80246/13350184_zpid/,19.99173241281449,Worst,641.025641025641,222.6027397260274,3812.0,676.0,1014.0,405.6,2.8796844181459567,-23129.0,,,,,,,
